ExCuSe,Dummy
60.75999999999999,210.76
61.5,211.5
62.24000000000001,212.24
63.0,213.0
63.870000000000005,213.87
54.75,214.75
55.629999999999995,215.63
56.5,216.5
57.370000000000005,217.37
48.25,218.25
49.129999999999995,219.13
70.0,220.0
50.56,220.56
61.129999999999995,221.13
51.69,221.69
52.25,222.25
52.81,222.81
143.37,223.37
53.94,223.94
54.5,224.5
145.24,225.24
36.0,226.0
46.75999999999999,226.76
17.5,227.5
38.24000000000001,228.24
29.0,229.0
19.75999999999999,229.76
20.5,230.5
21.120000000000005,231.12
21.75,231.75
22.379999999999995,232.38
153.0,233.0
153.62,233.62
34.25,234.25
14.879999999999995,234.88
155.5,235.5
155.5,235.5
155.5,235.5
155.5,235.5
155.5,235.5
155.5,235.5
155.5,235.5
155.5,235.5
155.5,235.5
155.68,235.68
155.87,235.87
156.07,236.07
156.25,236.25
156.43,236.43
156.63,236.63
156.82,236.82
157.0,237.0
157.06,237.06
157.13,237.13
157.19,237.19
157.25,237.25
157.31,237.31
157.37,237.37
157.44,237.44
157.5,237.5
157.57,237.57
157.63,237.63
157.68,237.68
157.75,237.75
157.82,237.82
157.87,237.87
157.93,237.93
158.0,238.0
158.0,238.0
158.0,238.0
158.0,238.0
158.0,238.0
158.0,238.0
158.0,238.0
158.0,238.0
158.0,238.0
157.81,237.81
157.62,237.62
157.44,237.44
157.25,237.25
157.06,237.06
156.88,236.88
156.69,236.69
156.5,236.5
156.5,236.5
156.5,236.5
156.5,236.5
156.5,236.5
156.5,236.5
156.5,236.5
156.5,236.5
156.5,236.5
155.76,235.76
155.0,235.0
154.24,234.24
153.5,233.5
152.76,232.76
152.0,232.0
151.24,231.24
150.5,230.5
148.63,228.63
146.76,226.76
144.87,224.87
143.0,223.0
141.13,221.13
139.24,219.24
137.37,217.37
135.5,215.5
134.56,214.56
133.63,213.63
132.69,212.69
131.75,211.75
130.81,210.81
129.87,209.87
128.94,208.94
128.0,208.0
126.94,206.94
125.87,205.87
124.81,204.81
123.75,203.75
122.69,202.69
121.63,201.63
120.56,200.56
119.5,199.5
150.82,199.18
118.87,198.87
118.57,198.57
118.25,198.25
117.93,197.93
117.63,197.63
117.32,197.32
117.0,197.0
116.56,196.56
116.12,196.12
115.69,195.69
115.25,195.25
114.81,194.81
114.38,194.38
113.94,193.94
113.5,193.5
113.44,193.44
113.37,193.37
113.31,193.31
113.25,193.25
113.19,193.19
113.13,193.13
113.06,193.06
113.0,193.0
112.81,192.81
112.63,192.63
112.44,192.44
112.25,192.25
112.06,192.06
111.87,191.87
111.69,191.69
111.5,191.5
111.5,191.5
111.5,191.5
111.5,191.5
111.5,191.5
111.5,191.5
111.5,191.5
111.5,191.5
111.5,191.5
111.19,191.19
110.88,190.88
110.56,190.56
110.25,190.25
109.94,189.94
109.62,189.62
109.31,189.31
109.0,189.0
108.5,188.5
108.0,188.0
107.5,187.5
107.0,187.0
106.5,186.5
106.0,186.0
105.5,185.5
105.0,185.0
104.25,184.25
103.5,183.5
